Timestamp,What year are you?,How frequently do you visit Fitrec on a weekly basis?,Which days do you work out regularly?,Which timeslot do you work out the most in?,"On a scale of 1 - 5, how would would rank the crowdedness at the gym in your selected timeslot? (1 being really empty with no wait time, and 5 being running a 6 person work-in session.) ","Does weather, such as rain or snow, ever influence your decision to skip the gym on certain days?","Do exams (midterms, finals) or projects affect the frequency of your gym visits?","If you said yes to the previous question, which month(s) would you say you visit the gym less than regular?","Do you use the Fitrec during holidays such as Thanksgiving, Indigineous Peoples Day?"
10/24/2024 22:28:46,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday, Sunday",6 PM to 9 PM,4,yes,yes,"October, December",no
10/24/2024 22:29:01,Senior,3 - 5 times,"Monday, Tuesday, Saturday",6 PM to 9 PM,4,yes,yes,"October, December",no
10/24/2024 22:31:49,Senior,0 - 2 times,"Saturday, Sunday",9 PM to 11 PM,3,yes,yes,October,no
10/24/2024 22:41:51,Senior,0 - 2 times,"Monday, Wednesday",6 AM to 9 AM,2,yes,yes,October,yes
10/24/2024 22:45:47,Junior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday, Friday",3 PM to 6 PM,3,no,yes,"November, December",yes
10/24/2024 22:47:20,Senior,0 - 2 times,,,4,yes,yes,"October, November",no
10/24/2024 22:47:33,Senior,0 - 2 times,"Wednesday, Saturday",6 PM to 9 PM,5,yes,yes,October,no
10/24/2024 22:47:45,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday, Friday",12 PM to 3 PM,4,yes,yes,"November, December",no
10/24/2024 22:52:32,Senior,3 - 5 times,"Monday, Wednesday, Friday, Sunday",9 AM to 12 PM,3,yes,yes,"September, October",yes
10/24/2024 22:52:55,Senior,3 - 5 times,"Monday, Wednesday, Friday, Saturday, Sunday",9 PM to 11 PM,5,no,yes,October,yes
10/24/2024 22:54:13,Junior,0 - 2 times,,,,no,no,,no
10/24/2024 22:55:09,Sophomore,3 - 5 times,"Monday, Tuesday, Wednesday, Friday, Saturday",6 PM to 9 PM,3,yes,yes,"October, November",no
10/24/2024 22:58:46,Senior,0 - 2 times,"Monday, Wednesday, Friday",6 AM to 9 AM,2,yes,yes,December,no
10/24/2024 23:00:14,Senior,0 - 2 times,"Monday, Saturday, Sunday",3 PM to 6 PM,4,no,yes,"October, November",no
10/24/2024 23:07:35,Junior,0 - 2 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9 AM to 12 PM,4,yes,,"October, December",no
10/24/2024 23:07:52,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday, Friday",6 AM to 9 AM,2,yes,yes,November,no
10/24/2024 23:08:13,Senior,0 - 2 times,"Monday, Thursday, Saturday, Sunday",6 PM to 9 PM,4,yes,yes,"October, November, December",no
10/24/2024 23:13:06,Senior,0 - 2 times,"Monday, Wednesday, Friday, Saturday",3 PM to 6 PM,2,yes,yes,October,no
10/24/2024 23:14:37,Freshman,0 - 2 times,,,,,,,
10/24/2024 23:16:47,Senior,0 - 2 times,"Tuesday, Wednesday, Sunday",9 PM to 11 PM,3,yes,yes,"October, December",yes
10/24/2024 23:24:45,Senior,0 - 2 times,"Friday, Saturday, Sunday",6 PM to 9 PM,3,yes,yes,October,no
10/24/2024 23:29:57,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Saturday, Sunday",6 PM to 9 PM,4,no,yes,"October, December",no
10/24/2024 23:44:23,Senior,0 - 2 times,"Wednesday, Thursday",6 PM to 9 PM,5,yes,yes,"November, December",no
10/24/2024 23:50:30,Senior,3 - 5 times,"Monday, Tuesday, Thursday, Friday",9 PM to 11 PM,4,yes,yes,"October, December",yes
10/25/2024 0:56:38,Senior,0 - 2 times,Tuesday,12 PM to 3 PM,5,yes,yes,October,yes
10/25/2024 1:44:14,Senior,0 - 2 times,"Monday, Wednesday, Saturday",6 PM to 9 PM,4,yes,yes,"November, December",no
